Year,Month,IncType,ParentPropertyType,NumFireDeaths,NumAllFireInjuries,IncGeo_BoroughName,IncGeo_WardName,IgnitionSource,ItemFirstIgnited,LocationFireStarted,ApplianceManufacturer,MainCauseModel,Date
2009,August,primary fire,purpose built flats/maisonettes,0,1,Kingston upon thames,Kingston town,,wiring insulation,kitchen,Candy,cn450,2009-08-01
2009,August,primary fire,purpose built flats/maisonettes,0,0,Hillingdon,Heathrow villages,,plastic - raw material only,kitchen,Whirlpool,service number 857032915300 ,2009-08-01
2009,August,primary fire,purpose built flats/maisonettes,0,0,Havering,Havering-atte-bower,tumble dryer - standard,other item,kitchen,Indesit,is60v5,2009-08-01
2009,September,primary fire,purpose built flats/maisonettes,0,0,Wandsworth,East putney,fridge/freezer,other furniture,kitchen,Beko,csb 4606ff,2009-09-01
2009,September,primary fire,purpose built flats/maisonettes,0,0,Greenwich,Plumstead common,washer/dryer combined,rubber - raw material only,kitchen,Hotpoint,aqurarius,2009-09-01
2009,October,primary fire,purpose built flats/maisonettes,0,1,Bromley,Shortlands & park langley,fridge/freezer,plastic - raw material only,kitchen,,,2009-10-01
2009,October,primary fire,purpose built flats/maisonettes,0,0,Lewisham,Rushey green,,internal fittings,kitchen,Servis,1300,2009-10-01
2009,November,primary fire,purpose built flats/maisonettes,0,0,Southwark,Rye lane,,plastic - raw material only,kitchen,Indesit,,2009-11-01
2009,December,primary fire,purpose built flats/maisonettes,0,0,Kensington and chelsea,Campden,fridge/freezer,gases,kitchen,,,2009-12-01
2009,December,primary fire,purpose built flats/maisonettes,0,0,Enfield,Winchmore hill,,plastic - raw material only,kitchen,Beko,wma-5205s,2009-12-01
2009,June,primary fire,purpose built flats/maisonettes,0,0,Bexley,Sidcup,fridge/freezer,wiring insulation,kitchen,Beko,cda 543 f,2009-06-01
2009,January,primary fire,purpose built flats/maisonettes,0,0,Sutton,Wallington south,tumble dryer - standard,plastic - raw material only,living room,Servis,m2010,2009-01-01
2009,February,primary fire,purpose built flats/maisonettes,0,3,Lambeth,Brixton north,tumble dryer - standard,clothing,,Indesit,is31vu(uk),2009-02-01
2009,January,primary fire,purpose built flats/maisonettes,0,0,Wandsworth,Falconbrook,washer/dryer combined,clothing,kitchen,Creda,,2009-01-01
2009,April,primary fire,purpose built flats/maisonettes,0,0,Greenwich,Eltham town & avery hill,,,kitchen,,,2009-04-01
2009,February,primary fire,purpose built flats/maisonettes,0,0,Hackney,Homerton,spin dryer,internal fittings,kitchen,Thorn,td 45 8519760,2009-02-01
2009,May,primary fire,purpose built flats/maisonettes,0,0,Hackney,Victoria,washer/dryer combined,plastic - raw material only,kitchen,Candy,nova,2009-05-01
2009,May,primary fire,purpose built flats/maisonettes,0,0,City of london,Cripplegate,washer/dryer combined,wiring insulation,kitchen,Zanussi,jetstream 1250,2009-05-01
