Year,Month,IncType,ParentPropertyType,NumFireDeaths,NumAllFireInjuries,IncGeo_BoroughCode,IncGeo_BoroughName,IncGeo_WardCode,IncGeo_WardName,IgnitionSourcePower,IgnitionSource,ItemFirstIgnited,LocationFireStarted,ApplianceManufacturer,ApplianceManufacturerOther,MainCauseModel
2010,January,Primary Fire,Dwelling,0,0,E09000015,Harrow,E05013544,Centenary,Electricity,Washing machine,Plastic - raw material only,Kitchen,INDESIT,NULL,W1B111
2010,January,Primary Fire,Dwelling,0,0,E09000023,Lewisham,E05013717,Catford South,Electricity,Dishwasher,Plastic - raw material only,Kitchen,BOSCH,NULL,not known
2010,September,Primary Fire,Dwelling,0,0,E09000018,Hounslow,E05013617,Heston Central,Electricity,Washing machine,Plastic - raw material only,Kitchen,NULL,NULL,NULL
2010,September,Primary Fire,Dwelling,0,0,E09000032,Wandsworth,E05014022,Thamesfield,Electricity,Tumble dryer - Standard,Wiring insulation,Utility room,HOTPOINT,NULL,Aquarius CTD00P
2010,January,Primary Fire,Dwelling,0,0,E09000013,Hammersmith and Fulham,E05013743,Munster,Electricity,Washing machine,Plastic - raw material only,Utility room,BOSCH,NULL,Maxx
2010,September,Primary Fire,Dwelling,0,0,E09000006,Bromley,E05013994,Clock House,Electricity,Fridge/Freezer,Wiring insulation,Conservatory,NULL,NULL,NULL
2010,September,Primary Fire,Dwelling,1,0,E09000024,Merton,E05013819,Lower Morden,Electricity,Washing machine,Wiring insulation,Kitchen,HOOVER,NULL,AC268
2010,September,Primary Fire,Dwelling,0,0,E09000011,Greenwich,E05014079,Eltham Town & Avery Hill,Electricity,Washing machine,Wiring insulation,Kitchen,BOSCH,NULL,Classix 1000
2010,March,Primary Fire,Dwelling,0,0,E09000012,Hackney,E05009368,Cazenove,Electricity,Washing machine,None,Kitchen,INDESIT,NULL,WIB111
2010,March,Primary Fire,Dwelling,0,0,E09000011,Greenwich,E05014086,"Mottingham, Coldharbour & New Eltham",Electricity,Tumble dryer - Standard,Plastic - raw material only,Garage,Other,Unknown,Unidentifiable
2010,March,Primary Fire,Dwelling,0,0,E09000026,Redbridge,E05011243,Fullwell,Electricity,Washing machine,Other item,Kitchen,HOOVER,NULL,ACM 1101
2010,January,Primary Fire,Dwelling,0,1,E09000003,Barnet,E05013636,East Finchley,Electricity,Fridge/Freezer,Wiring insulation,Kitchen,ZANUSSI,NULL,N/A
